Target, Prediction, Time
1906.64,2128.4624484,2012-05-26 00:59:00
1877.34,2128.4624484,2012-05-26 01:00:00
1879.88,0,2012-05-26 01:01:00
1874.25,0,2012-05-26 01:02:00
1869.67,0,2012-05-26 01:03:00
1869.63,2056.53563498,2012-05-26 01:04:00
1872.16,2056.53563498,2012-05-26 01:05:00
2090.7,0,2012-05-26 01:06:00
2213.33,0,2012-05-26 01:07:00
2151.39,0,2012-05-26 01:08:00
2196.89,2107.91651655,2012-05-26 01:09:00
2257.41,2107.91651655,2012-05-26 01:10:00
2261.28,0,2012-05-26 01:11:00
2030.54,0,2012-05-26 01:12:00
1885.76,0,2012-05-26 01:13:00
1866.95,2140.64055991,2012-05-26 01:14:00
1875.59,2140.64055991,2012-05-26 01:15:00
1868.56,0,2012-05-26 01:16:00
1859.4,0,2012-05-26 01:17:00
1753.83,0,2012-05-26 01:18:00
1393.29,2157.29146172,2012-05-26 01:19:00
1392.18,2157.29146172,2012-05-26 01:20:00
1390.14,0,2012-05-26 01:21:00
1387.93,0,2012-05-26 01:22:00
1388.47,0,2012-05-26 01:23:00
1388.34,2156.42887651,2012-05-26 01:24:00
1387.84,2156.42887651,2012-05-26 01:25:00
1387.37,0,2012-05-26 01:26:00
1391.41,0,2012-05-26 01:27:00
1396.73,0,2012-05-26 01:28:00
1404.65,2178.74004783,2012-05-26 01:29:00
1408.44,2178.74004783,2012-05-26 01:30:00
1406.35,0,2012-05-26 01:31:00
1405.54,0,2012-05-26 01:32:00
1405.7,0,2012-05-26 01:33:00
1408.75,2186.42176921,2012-05-26 01:34:00
1403.85,2186.42176921,2012-05-26 01:35:00
1404.15,0,2012-05-26 01:36:00
1406.69,0,2012-05-26 01:37:00
1319.73,0,2012-05-26 01:38:00
1301.06,2177.03112278,2012-05-26 01:39:00
1297.06,2177.03112278,2012-05-26 01:40:00
1323.14,538.456929093,2012-05-26 01:41:00
1443.98,0,2012-05-26 01:42:00
1471.36,0,2012-05-26 01:43:00
1422.87,2665.17318107,2012-05-26 01:44:00
1412.91,2126.71625198,2012-05-26 01:45:00
1408.55,0,2012-05-26 01:46:00
1513.86,0,2012-05-26 01:47:00
1307.72,0,2012-05-26 01:48:00
1328.5,2143.7233983,2012-05-26 01:49:00
1760.86,2143.7233983,2012-05-26 01:50:00
1781.95,0,2012-05-26 01:51:00
1792.66,0,2012-05-26 01:52:00
1541.38,0,2012-05-26 01:53:00
1407.96,2058.70221548,2012-05-26 01:54:00
1402.74,2058.70221548,2012-05-26 01:55:00
1408.54,0,2012-05-26 01:56:00
1402.43,0,2012-05-26 01:57:00
1481.17,0,2012-05-26 01:58:00
2006.03,1998.10748928,2012-05-26 01:59:00
1993.26,1998.10748928,2012-05-26 02:00:00
1989.58,0,2012-05-26 02:01:00
1978.0,0,2012-05-26 02:02:00
1956.18,0,2012-05-26 02:03:00
1977.22,1894.65655861,2012-05-26 02:04:00
1964.23,1894.65655861,2012-05-26 02:05:00
1980.72,0,2012-05-26 02:06:00
1988.02,0,2012-05-26 02:07:00
2006.27,0,2012-05-26 02:08:00
1970.24,1903.75703975,2012-05-26 02:09:00
1980.51,1903.75703975,2012-05-26 02:10:00
1960.87,0,2012-05-26 02:11:00
1948.02,0,2012-05-26 02:12:00
1965.23,0,2012-05-26 02:13:00
1975.15,1935.43184864,2012-05-26 02:14:00
1952.3,1935.43184864,2012-05-26 02:15:00
1992.5,0,2012-05-26 02:16:00
1961.98,0,2012-05-26 02:17:00
1964.19,0,2012-05-26 02:18:00
1977.77,2005.11225737,2012-05-26 02:19:00
1514.56,2005.11225737,2012-05-26 02:20:00
1460.46,0,2012-05-26 02:21:00
1378.51,0,2012-05-26 02:22:00
1377.98,0,2012-05-26 02:23:00
1376.31,2076.0851092,2012-05-26 02:24:00
1376.57,2076.0851092,2012-05-26 02:25:00
1379.65,0,2012-05-26 02:26:00
1333.64,0,2012-05-26 02:27:00
1276.89,0,2012-05-26 02:28:00
1285.03,2128.05728391,2012-05-26 02:29:00
1282.45,2128.05728391,2012-05-26 02:30:00
1609.45,0,2012-05-26 02:31:00
1637.32,0,2012-05-26 02:32:00
1657.53,0,2012-05-26 02:33:00
1663.43,1992.82123204,2012-05-26 02:34:00
1670.15,1992.82123204,2012-05-26 02:35:00
1684.01,0,2012-05-26 02:36:00
1306.18,0,2012-05-26 02:37:00
1287.67,0,2012-05-26 02:38:00
1287.98,2002.3688846,2012-05-26 02:39:00
1286.05,2002.3688846,2012-05-26 02:40:00
1290.46,0,2012-05-26 02:41:00
1291.7,0,2012-05-26 02:42:00
1287.38,0,2012-05-26 02:43:00
1288.3,2030.47004286,2012-05-26 02:44:00
1289.0,2030.47004286,2012-05-26 02:45:00
1291.09,0,2012-05-26 02:46:00
1288.26,0,2012-05-26 02:47:00
1285.73,0,2012-05-26 02:48:00
1399.39,2080.56095802,2012-05-26 02:49:00
1396.71,2080.56095802,2012-05-26 02:50:00
1399.42,0,2012-05-26 02:51:00
1400.29,0,2012-05-26 02:52:00
1460.23,0,2012-05-26 02:53:00
1500.95,2006.66360264,2012-05-26 02:54:00
1433.94,2006.66360264,2012-05-26 02:55:00
1392.35,0,2012-05-26 02:56:00
1390.75,0,2012-05-26 02:57:00
1402.81,0,2012-05-26 02:58:00
1419.43,2006.28050254,2012-05-26 02:59:00
1894.2,2006.28050254,2012-05-26 03:00:00
1932.85,0,2012-05-26 03:01:00
1882.83,0,2012-05-26 03:02:00
